"PPN","5","288","0","","","O"
"PPN","6","289","0","","","O"
"PPN","7","290","0","","","W"
"PPN","8","291","297","","","B"
"PPN","9","292","363","","","C"
"PPN","10","293","200","1","5","O"
"PPN","11","294","0","","","O"
"PPN","12","295","61","3","3","C"
"PPN","13","296","203","1","5","O"
"PPN","14","297","0","","","O"
"PPN","15","298","0","","","O"
"PPN","16","299","465","1","1","O"
"PPN","17","300","448","","","O"
"PPN","18","301","0","","","W"
"PPN","19","302","444","1","1","O"
"PPN","20","303","0","","","O"
"PPN","21","304","0","","","O"
"PPN","22","305","0","","","O"
"PPN","23","306","0","","","O"
"PPN","24","307","0","","","O"
"PPN","25","308","0","","","O"
"PPN","26","309","904","3","3","O"
"PRL","1","310","0","","","R"
"PRL","2","311","0","","","O"
"PRL","3","312","0","","","O"
"PT","1","313","103","1","1","R"
"PT","2","314","207","1","1","O"
"PTA","1","315","147","","","R"
"PTA","2","316","193","","","O"
"PTA","3","317","0","","","W"
"PTA","4","318","0","","","R"
"QIP","1","319","0","6","12","R"
"QIP","2","320","0","","","R"
"QSC","1","321","0","","","R"
"QSC","2","322","209","2","2","O"
"QSC","3","323","0","","","O"
"QSC","4","324","210","3","3","O"
"RCD","1","325","0","6","12","O"
"RCD","2","326","440","2","3","O"
"RCD","3","327","0","1","5","O"
"RFR","1","328","0","","","R"
"RFR","2","329","1","","","O"
"RFR","3","330","0","","","O"
"RFR","4","331","0","","","O"
"RFR","5","332","0","","","O"
"RFR","6","333","0","","","O"
"RFR","7","334","0","","","O"
"RI","1","335","335","","","O"
"RI","2","336","0","","","O"
"RMC","1","337","145","","","R"
"RMC","2","338","146","","","O"
"RMC","3","339","0","","","W"
"RMC","4","340","0","","","R"
"RP","1","341","0","","","O"
"RP","2","342","0","","","O"
"RP","3","343","834","4","11","O"
"RP","4","344","291","","","O"
"RPT","1","345","335","","","R"
"RPT","2","346","527","2","2","O"
"RPT","3","347","0","","","O"
"RPT","4","348","0","","","O"
"RPT","5","349","0","","","O"
"RPT","6","350","0","","","C"
"RPT","7","351","136","1","1","O"
"RPT","8","352","528","2","3","O"
"RPT","9","353","0","","","O"
"RPT","10","354","0","","","C"
"RPT","11","355","0","","","O"
"SAD","1","356","0","","","O"
"SAD","2","357","0","","","O"
"SAD","3","358","0","","","O"
"SCV","1","359","294","","","O"
"SCV","2","360","0","","","O"
